,country,article_name,population,coverage
181,Djibouti,37,988000000.0,3.744939271255061e-06
180,Belize,16,419000000.0,3.818615751789976e-06
179,Barbados,14,287000000.0,4.878048780487805e-06
178,Bahamas,20,393000000.0,5.089058524173028e-06
177,Cape Verde,36,556000000.0,6.474820143884892e-06
176,Suriname,40,605000000.0,6.611570247933884e-06
175,French Guiana,27,294000000.0,9.183673469387756e-06
174,Martinique,34,356000000.0,9.550561797752809e-06
173,Montenegro,72,622000000.0,1.157556270096463e-05
172,Guadeloupe,49,375000000.0,1.3066666666666666e-05
